Back,Table 7. Population trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,Dependency ratio,,,,,,,,,
175,Liberia,4.9,,6.4,,3.8,,2.5,,51.6,,0.7,,2.8,,0.2,,19.4,,72.8,,5.9,,5.2,,4.4,,,
178,Guinea,12.8,,17.0,,2.2,,2.8,,36.5,,2.1,,6.8,,0.4,,18.0,,81.1,,5.5,,5.5,,4.7,,,
179,Yemen,29.2,,36.4,,2.8,,2.4,,37.3,,4.1,,16.9,,0.8,,20.2,,67.8,,5.0,,5.0,,3.8,,,
180,Eritrea,3.5,,4.2,,2.3,,1.2,,40.7,,0.5,,1.9,,0.2,,19.2,,77.1,,8.4,,4.8,,4.1,,,
181,Mozambique,30.4,,41.2,,2.8,,2.9,,36.5,,5.0,,16.0,,0.9,,17.6,,84.1,,5.5,,5.5,,4.9,,,
182,Burkina Faso,20.3,,27.4,,3.0,,2.9,,30.0,,3.4,,10.8,,0.5,,17.6,,84.4,,4.5,,6.1,,5.2,,,
182,Sierra Leone,7.8,,9.6,,2.6,,2.1,,42.5,,1.1,,4.4,,0.2,,19.4,,72.3,,5.2,,5.6,,4.3,,,
184,Mali,19.7,,27.0,,3.3,,3.0,,43.1,,3.5,,9.9,,0.5,,16.3,,94.2,,5.0,,6.7,,5.9,,,
185,Burundi,11.5,,15.8,,3.3,,3.1,,13.4,,2.0,,6.0,,0.3,,17.3,,86.8,,4.4,,6.4,,5.5,,,
185,South Sudan,11.1,,13.8,,4.7,,0.9,,19.9,,1.7,,6.1,,0.4,,19.0,,75.5,,6.1,,5.6,,4.7,,,
187,Chad,15.9,,21.7,,3.4,,3.0,,23.3,,2.9,,8.1,,0.4,,16.6,,92.4,,4.9,,6.9,,5.8,,,
188,Central African Republic,4.7,,5.9,,1.7,,1.4,,41.8,,0.7,,2.5,,0.1,,17.6,,82.5,,5.3,,5.3,,4.8,,,
189,Niger,23.3,,34.8,,3.8,,3.8,,16.5,,4.6,,11.1,,0.6,,15.2,,104.8,,5.5,,7.6,,7.0,,,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),25.7,,26.7,,0.5,,0.5,,62.1,,1.7,,18.2,,2.4,,35.3,,28.3,,13.1,,2.0,,1.9,,,
,Monaco,0.0,,0.0,,1.0,,0.8,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,,,
,Nauru,0.0,,0.0,,0.3,,0.8,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,,,
,San Marino,0.0,,0.0,,1.3,,0.4,,97.4,,..,,..,,..,,..,,..,,..,,..,,..,,,
,Somalia,15.4,,21.2,,2.8,,2.8,,45.6,,2.7,,7.8,,0.4,,16.7,,91.4,,5.7,,7.1,,6.1,,,
,Tuvalu,0.0,,0.0,,1.0,,1.2,,63.2,,..,,..,,..,,..,,..,,..,,..,,..,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,"1,562.5",,"1,610.1",,0.7,,0.5,,79.9,,90.5,,"1,022.9",,264.4,,40.2,,26.9,,25.9,,1.8,,1.7,,,
,High human development,"2,957.0",,"3,136.9",,0.9,,0.8,,62.3,,217.5,,"2,034.0",,280.0,,34.4,,31.6,,13.8,,2.0,,2.0,,,
,Medium human development,"2,199.3",,"2,503.5",,1.6,,1.3,,37.2,,214.8,,"1,432.1",,123.9,,26.7,,44.9,,8.6,,3.1,,2.6,,,
,Low human development,921.4,,"1,217.1",,2.8,,2.7,,37.0,,148.5,,497.3,,26.9,,18.3,,79.9,,5.4,,5.7,,4.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,"6,417.9",,"7,230.5",,1.4,,1.3,,50.9,,608.6,,"4,194.2",,459.6,,29.3,,42.1,,11.0,,2.8,,2.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,422.8,,512.5,,2.5,,1.9,,59.3,,50.1,,265.3,,19.8,,25.4,,51.9,,7.5,,3.5,,3.2,,,
,East Asia and the Pacific,"2,136.0",,"2,235.6",,0.8,,0.7,,56.7,,145.0,,"1,489.4",,212.8,,35.8,,29.1,,14.3,,1.9,,1.9,,,
,Europe and Central Asia,248.8,,261.4,,0.7,,0.9,,63.5,,20.0,,165.5,,24.9,,33.3,,35.2,,15.1,,2.1,,2.1,,,
,Latin America and the Caribbean,643.5,,701.5,,1.2,,1.0,,80.7,,51.8,,431.7,,55.6,,31.0,,36.1,,12.9,,2.3,,2.0,,,
,South Asia,"1,918.2",,"2,143.1",,1.5,,1.2,,36.2,,176.6,,"1,268.5",,115.3,,27.7,,42.1,,9.1,,2.9,,2.4,,,
,Sub-Saharan Africa,"1,048.7",,"1,376.3",,2.7,,2.7,,40.9,,165.2,,573.8,,31.3,,18.8,,77.3,,5.4,,5.4,,4.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,"1,033.4",,"1,313.8",,2.4,,2.4,,34.1,,147.1,,592.2,,36.8,,20.6,,68.3,,6.2,,4.7,,4.1,,,
,Small island developing states,66.2,,73.2,,1.5,,1.2,,60.2,,6.0,,43.3,,5.3,,30.2,,40.2,,12.3,,2.7,,2.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,"1,358.1",,"1,406.1",,0.7,,0.6,,80.8,,78.6,,882.8,,232.3,,39.8,,27.5,,26.3,,1.8,,1.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,"7,713.5",T,"8,548.5",T,1.2,T,1.1,T,55.7,T,677.4,T,"5,035.3",T,702.4,T,30.9,T,39.2,T,14.0,T,2.6,T,2.5,T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a. Because data are based on national definitions of what constitutes a city or metropolitan area, cross-country comparison should be made with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. Projections based on medium-fertility variant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. Includes Svalbard and Jan Mayen Islands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"d. Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. Includes Åland Islands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"f. Includes Canary Islands, Ceuta and Melilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g. Includes Northern Cyprus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h. Includes Abkhazia and South Ossetia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Includes Sabah and Sarawak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j. Includes Kosovo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"k. Includes Agalega, Rodrigues and Saint Brandon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l. Includes Crimea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m. Includes Nagorno-Karabakh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n. Includes Transnistria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o. Includes East Jerusalem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p. Includes Zanzibar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T. From original data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total population: De facto population in a country, area or region as of 1 July. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Population average annual growth: Average annual exponential growth rate for the period specified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban population: De facto population living in areas classified as urban according to the criteria used by each country or area as of 1 July. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Population under age 5: De facto population in a country, area or region under age 5 as of 1 July.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Population ages 15–64: De facto population in a country, area or region ages 15–64 as of 1 July.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Population ages 65 and older: De facto population in a country, area or region ages 65 and older as of 1 July.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Median age: Age that divides the population distribution into two equal parts—that is, 50 percent of the population is above that age and 50 percent is below it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Young age dependency ratio: Ratio of the population ages 0–14 to the population ages 15–64, expressed as the number of dependants per 100 people of working age (ages 15–64).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Old-age dependency ratio: Ratio of the population ages 65 and older to the population ages 15–64, expressed as the number of dependants per 100 people of working age (ages 15–64).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total fertility rate: Number of children who would be born to a woman if she were to live to the end of her child-bearing years and bear children at each age in accordance with prevailing age-specific fertility rates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12 and 13: UNDESA (2019a). World Population Prospects: The 2019 Revision. Rev 1. New York. https://population.un.org/wpp/. Accessed 30 April 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 5: UNDESA (2018). World Urbanization Prospects: The 2018 Revision. New York. https://esa.un.org/unpd/wup/. Accessed 25 August 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
