Back,Table 11. Work and employment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG9.2,,SDG9.2,,SDG8.5,,SDG8.5,,SDG8.6,,SDG8.7,,SDG1.1,,SDG8.3,,SDG8.3,,,,SDG1.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,57.3,,60.6,,4.4,,72.4,,5.5,,14.0,,13.1,,..,,..,,..,,..,,4.04,,97.5,
,High human development,61.1,,64.8,,23.6,,50.5,,6.0,,15.5,,20.3,,..,,7.6,,..,,..,,0.95,,86.0,
,Medium human development,50.5,,53.2,,41.8,,35.2,,5.2,,18.4,,28.7,,..,,38.6,,79.8,,78.0,,0.63,,24.8,
,Low human development,61.6,,64.9,,55.2,,34.1,,5.8,,9.9,,21.4,,29.4,,67.4,,..,,..,,0.89,,12.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,57.4,,60.8,,32.3,,44.6,,5.8,,15.8,,23.6,,..,,23.9,,..,,..,,0.85,,65.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,43.0,,48.0,,19.8,,55.2,,10.9,,27.4,,29.6,,..,,14.4,,..,,..,,1.56,,..,
,East Asia and the Pacific,65.3,,67.9,,27.4,,46.3,,3.9,,10.3,,18.1,,..,,8.8,,..,,..,,0.66,,85.8,
,Europe and Central Asia,51.5,,57.0,,20.3,,54.4,,9.9,,19.0,,21.4,,..,,7.0,,..,,..,,1.88,,96.4,
,Latin America and the Caribbean,59.0,,64.1,,13.8,,65.8,,8.1,,17.6,,21.5,,6.8,,6.8,,50.6,,52.0,,1.10,,87.9,
,South Asia,48.1,,50.8,,40.8,,34.2,,5.5,,20.2,,30.4,,..,,38.9,,80.0,,77.0,,0.65,,25.6,
,Sub-Saharan Africa,64.0,,67.9,,52.7,,36.0,,6.4,,10.7,,19.4,,28.3,,61.8,,..,,..,,0.92,,23.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,64.3,,67.2,,55.0,,32.0,,4.8,,9.4,,20.9,,26.8,,58.5,,84.4,,86.5,,0.43,,23.6,
,Small island developing states,57.7,,61.3,,20.8,,64.0,,5.7,,14.4,,24.1,,..,,16.9,,..,,..,,1.71,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,57.2,,60.4,,4.8,,72.5,,5.5,,12.4,,13.8,,..,,..,,..,,..,,3.67,,98.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,57.4,,60.7,,26.9,,50.1,,5.6,,15.4,,22.2,,..,,23.0,,..,,..,,1.45,,76.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
,a. Estimates modelled by the International Labour Organization.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b. Because statutory pension ages differ by country, cross-country comparisons should be made with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,
,c. Data refer to the most recent year available during the period specified.,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. Refers to 2004.,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. Refers to 2005.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFINITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employment to population ratio: Percentage of the population ages 15 years and older that is employed.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Percentage of a country’s working-age population that engages actively in the labour market, either by working or looking for work. It provides an indication of the relative size of the supply of labour available to engage in the production of goods and services.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Employment in agriculture: Share of total employment that is employed in agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employment in services: Share of total employment that is employed in services.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total unemployment rate: Percentage of the labour force population ages 15 and older that is not in paid employment or self-employed but is available for work and has taken steps to seek paid employment or self-employment.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Youth unemployment rate: Percentage of the labour force population ages 15–24 that is not in paid employment or self-employed but is available for work and has taken steps to seek paid employment or self-employment.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Youth not in school or employment: Percentage of people ages 15–24 who are not in employment or in education or training.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Child labour: Percentage of children ages 5–11 who, during the reference week, engaged in at least one hour of economic activity and/or involved in unpaid household services for more than 21 hours; children ages 12–14 who, during the reference week, engaged in at least 14 hours of economic activity and/or involved in unpaid household services for more than 21 hours; children ages 15–17 who, during the reference week, engaged in at least 43 hours of economic activity; or children ages 5–17 who, during the reference week, engaged in hazardous working conditions or any worst forms of child labour other than hazardous.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Working poor at PPP$3.20 a day: Proportion of employed people who live on less than $3.20 (in purchasing power parity terms) a day, expressed as a percentage of the total employed population ages 15 and older.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Proportion of informal employment in nonagricultural employment: Share of informal employment in total employment in the nonagricultural sector.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"High-skill to low-skill ratio: The ratio of total employment in high-skill occupations (skill levels 3 and 4: managers, professionals, technicians and associate professionals) to total employment in low-skill occupations (skill level 1: elementary occupations).",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Old-age pension recipients: Proportion of people older than the statutory pensionable age receiving an old-age pension (contributory, noncontributory or both), expressed as a percentage of the eligible population.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 1–7 and 9–11: ILO (2020). ILOSTAT database. https://ilostat.ilo.org/data/. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 8 and 13: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 12: HDRO calculations based on ILO (International Labour Organization) (2020). ILOSTAT database. https://ilostat.ilo.org/data/. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
