Back,Table 13. Human and capital mobility,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG 17.3,,,,SDG 17.2,,SDG 17.3,,,,,,,,SDG 8.9,,"SDG 17.6, 17.8",,,,SDG 9.c,,,
181,Mozambique,112.2,,18.2,,-18.3,,12.6,,1.65,,-0.2,,1.1,,-1.2,,"2,743",,10.0,,..,,47.7,,17.0,
182,Burkina Faso,60.2,,1.7,,-4.9,,7.1,,3.02,,-1.3,,3.5,,-2.6,,144,,16.0,,..,,97.9,,61.3,
182,Sierra Leone,56.7,,5.3,,-5.3,,13.3,,1.58,,-0.6,,0.7,,..,,57,,9.0,,..,,88.5,,57.3,
184,Mali,57.2,,2.7,,-3.7,,8.9,,5.91,,-2.1,,2.4,,-9.3,,14,,13.0,,..,,115.1,,65.6,
185,Burundi,41.9,,0.0,,-5.1,,14.8,,1.60,,0.2,,2.8,,-2.1,,299,,2.7,,1.5,,56.5,,37.2,
185,South Sudan,65.6,,0.0,,..,,15.9,,9.49,,-15.9,,7.8,,..,,..,,8.0,,..,,33.5,,17.7,
187,Chad,74.6,,5.9,,..,,7.9,,..,,0.1,,3.2,,-16.1,,87,,6.5,,..,,45.1,,21.1,
188,Central African Republic,66.1,,0.8,,..,,27.5,,..,,-8.6,,1.9,,3.9,,107,,4.3,,..,,27.7,,5.4,
189,Niger,39.7,,3.6,,-4.6,,9.5,,2.48,,0.2,,1.3,,-3.1,,157,,5.3,,2.9,,40.6,,18.4,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,..,,..,,..,,-0.2,,0.2,,-0.3,s,..,,0.0,w,..,,15.0,,13.2,
,Monaco,..,,..,,..,,..,,..,,..,,68.0,,-49.5,,347,,97.1,,..,,84.5,,18.8,
,Nauru,99.2,,0.0,,17.1,,19.0,,5.27,,..,,19.7,,..,,..,,57.0,,..,,94.6,,32.6,
,San Marino,268.8,,..,,..,,..,,..,,..,,16.3,,..,,84,,60.2,,..,,112.9,,14.9,
,Somalia,..,,..,,..,,..,,..,,-2.7,,0.3,,..,,..,,2.0,,..,,48.8,,43.4,
,Tuvalu,..,,0.7,,2.0,,29.3,,8.58,,..,,2.0,,..,,3,,49.3,,..,,70.4,,55.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,60.8,,1.7,,0.2,,..,,0.31,,2.4,,12.9,,4.3,,"997,128",,84.1,,80.2,,127.8,,12.5,
,High human development,44.8,,1.7,,-1.4,,0.1,,1.07,,-0.4,,1.1,,-1.3,,"302,142",,56.0,,..,,114.6,,19.1,
,Medium human development,46.1,,1.6,,-1.9,,0.6,,4.02,,-0.9,,0.8,,-1.2,,"70,759",,30.9,,..,,89.3,,34.6,
,Low human development,44.2,,1.8,,-3.5,,4.8,,4.51,,-0.5,,1.8,,-3.4,,"22,869",,23.6,,..,,67.0,,36.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,52.4,,2.0,,-1.3,,0.3,,1.52,,-0.4,,1.9,,-1.2,,"597,206",,43.5,,..,,99.0,,25.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,86.0,,1.2,,-1.6,,1.9,,2.60,,-0.6,,9.5,,-0.8,,"109,682",,52.6,,49.5,,100.3,,16.5,
,East Asia and the Pacific,49.7,,1.9,,-0.8,,0.0,,0.56,,-0.3,,0.5,,-1.4,,"195,977",,52.3,,..,,117.6,,39.0,
,Europe and Central Asia,73.1,,2.2,,-1.7,,0.5,,3.26,,0.8,,7.7,,-5.8,,"107,057",,63.9,,65.6,,107.3,,17.7,
,Latin America and the Caribbean,48.5,,2.9,,-1.9,,0.2,,1.75,,-0.6,,1.7,,-0.1,,"107,075",,64.3,,63.4,,103.7,,6.4,
,South Asia,40.6,,1.5,,-1.9,,0.3,,3.49,,-0.7,,0.7,,-1.0,,"31,975",,31.8,,..,,87.7,,43.0,
,Sub-Saharan Africa,51.2,,1.8,,-2.9,,2.6,,2.78,,-0.3,,2.2,,-2.1,,"45,441",,25.2,,..,,76.6,,38.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,53.5,,1.9,,-2.2,,4.9,,4.90,,-0.9,,1.6,,-2.4,,"33,222",,18.2,,..,,70.6,,42.1,
,Small island developing states,203.1,,17.7,,..,,2.2,,7.02,,-0.5,,6.2,,2.6,,"51,408",,50.1,,..,,80.3,,18.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,55.8,,1.3,,0.2,,..,,0.34,,2.5,,10.6,,4.5,,"791,285",,82.7,,78.5,,119.7,,8.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,55.6,,1.7,,-0.3,,0.3,,0.76,,0.0,,3.5,,0.4,,"1,393,331",,50.4,,..,,103.8,,21.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
,a. Data refer to 2019 or the most recent year available.,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. Data refer to 2018 or the most recent year available.,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. Data are average annual estimates for 2015–2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. Data refer to the most recent year available during the period specified.,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. Includes Svalbard and Jan Mayen Islands.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"f. Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",,,,,,,,,,,,,,,,,,,,,,,,,,
,g. Includes Åland Islands.,,,,,,,,,,,,,,,,,,,,,,,,,,
,h. Refers to a year between 2014 and 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"i. Includes Canary Islands, Ceuta and Melilla.",,,,,,,,,,,,,,,,,,,,,,,,,,
,j. Includes Northern Cyprus.,,,,,,,,,,,,,,,,,,,,,,,,,,
,k. Includes Abkhazia and South Ossetia.,,,,,,,,,,,,,,,,,,,,,,,,,,
,l. Includes Sabah and Sarawak.,,,,,,,,,,,,,,,,,,,,,,,,,,
,m. Includes Kosovo.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"n. Includes Agalega, Rodrigues and Saint Brandon.",,,,,,,,,,,,,,,,,,,,,,,,,,
,o. A negative value refers to net official development assistance disbursed by donor countries.,,,,,,,,,,,,,,,,,,,,,,,,,,
,p. Includes Crimea.,,,,,,,,,,,,,,,,,,,,,,,,,,
,q. Includes Nagorno-Karabakh.,,,,,,,,,,,,,,,,,,,,,,,,,,
,r. Includes Transnistria.,,,,,,,,,,,,,,,,,,,,,,,,,,
,s. Refers to a year from 2007 to 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,
,t. Includes East Jerusalem.,,,,,,,,,,,,,,,,,,,,,,,,,,
,u. Includes East Jerusalem. Refugees are not part of the foreign-born migrant stock in the State of Palestine.,,,,,,,,,,,,,,,,,,,,,,,,,,
,v. Includes Zanzibar.,,,,,,,,,,,,,,,,,,,,,,,,,,
,w. Refers to 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports and imports: Sum of exports and imports of goods and services, expressed as a percentage of gross domestic product (GDP). It is a basic indicator of openness to foreign trade and economic integration and indicates the dependence of domestic producers on foreign demand (exports) and of domestic consumers and producers on foreign supply (imports), relative to the country’s economic size (GDP).",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Foreign direct investment, net inflows: Sum of equity capital, reinvestment of earnings, other long-term capital and short-term capital, expressed as a percentage of GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Private capital flows: Net foreign direct investment and portfolio investment, expressed as a percentage of GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Net official development assistance received: Disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies to promote economic development and welfare in countries and territories on the Development Assistance Committee list of aid recipients, expressed as a percentage of the recipient country’s gross national income (GNI).",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Remittances, inflows: Earnings and material resources transferred by international migrants or refugees to recipients in their country of origin or countries in which the migrant formerly resided.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Net migration rate: Ratio of the difference between the number of in-migrants and out-migrants from a country to the average population, expressed per 1,000 people.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Stock of immigrants: Ratio of the stock of immigrants into a country, expressed as a percentage of the country's population. The definition of immigrant varies across countries but generally includes the stock of foreign-born people, the stock of foreign people (according to citizenship) or a combination of the two. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,"International student mobility: Total number of tertiary students from abroad (inbound students) studying in a given country minus the number of students at the same level of education from that country studying abroad (outbound students), expressed as a percentage of total tertiary enrolment in the country.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"International inbound tourists: Arrivals of nonresident visitors (overnight visitors, tourists, same-day visitors and excursionists) at national borders.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Internet users: People with access to the worldwide network.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mobile phone subscriptions: Number of subscriptions for the mobile phone service, expressed per 100 people.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 1, 2, 4, 5 and 9: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Column 3: HDRO calculations based on data from World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed on 22 July 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 6: UNDESA (2019). World Population Prospects: The 2019 Revision. Rev 1. New York. https://population.un.org/wpp/. Accessed 30 April 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Column 7: UNDESA (2019b). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019). Accessed 2 September 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Column 8: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 10-12: ITU (International Telecommunication Union) (2020). ICT Facts and Figures 2020. www.itu.int/en/ITU-D/Statistics/Pages/stat/. Accessed 2 September 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 13: HDRO calculations based on data from ITU (International Telecommunication Union) (2020). ICT Facts and Figures 2020. www.itu.int/en/ITU-D/Statistics/Pages/stat/. Accessed 2 September 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
