|,|__44206__1990,|__44206__1991,|__44206__1992,|__44206__1993,|__44206__1994,|__44206__1995,|__44206__1996,|__44206__1997,|__44206__1998,|__44206__1999,|__44206__2000,|__44206__2001,|__44206__2002,|__44206__2003,|__44206__2004,|__44206__2005,|__44206__2006,|__44206__2007,|__44206__2008,|__44206__2009,|__44206__2010,|__44206__2011,|__44206__2012,|__44206__2013,|__44206__2014,|__44206__2015,|__44206__2016,|__44206__2017,|__44206__2018,|__44206__2019
TUN,8.243,,,,,9.125,,,,,9.708,,,,,10.107,,,,,10.635,10.742,10.847,10.953,11.063,11.18,11.304,11.433,11.565,11.695
TUR,53.922,,,,,58.486,,,,,63.24,,,,,67.903,,,,,72.327,73.443,74.651,75.925,77.229,78.529,79.828,81.116,82.34,83.43
TZA,25.204,,,,,29.649,,,,,33.499,,,,,38.45,,,,,44.347,45.674,47.053,48.483,49.961,51.483,53.049,54.66,56.313,58.005
UGA,17.354,,,,,20.413,,,,,23.65,,,,,27.685,,,,,32.428,33.477,34.559,35.695,36.912,38.225,39.649,41.167,42.729,44.27
UKR,51.463,,,,,50.904,,,,,48.838,,,,,46.891,,,,,45.792,45.62,45.454,45.287,45.112,44.922,44.714,44.488,44.246,43.994
URY,3.11,,,,,3.224,,,,,3.32,,,,,3.322,,,,,3.359,3.369,3.379,3.389,3.4,3.412,3.424,3.437,3.449,3.462
USA,252.12,,,,,265.164,,,,,281.711,,,,,294.994,,,,,309.011,311.584,314.044,316.401,318.673,320.878,323.016,325.085,327.096,329.065
UZB,20.398,,,,,22.791,,,,,24.77,,,,,26.428,,,,,28.516,28.977,29.449,29.933,30.426,30.93,31.442,31.96,32.476,32.982
VCT,0.107,,,,,0.108,,,,,0.108,,,,,0.109,,,,,0.108,0.108,0.108,0.109,0.109,0.109,0.109,0.11,0.11,0.111
VEN,19.633,,,,,21.931,,,,,24.192,,,,,26.432,,,,,28.44,28.888,29.361,29.781,30.043,30.082,29.851,29.402,28.887,28.516
VNM,67.989,,,,,74.91,,,,,79.91,,,,,83.833,,,,,87.968,88.871,89.802,90.753,91.714,92.677,93.64,94.601,95.546,96.462
VUT,0.147,,,,,0.168,,,,,0.185,,,,,0.209,,,,,0.236,0.243,0.25,0.257,0.264,0.271,0.278,0.285,0.293,0.3
WSM,0.163,,,,,0.17,,,,,0.174,,,,,0.18,,,,,0.186,0.187,0.189,0.191,0.192,0.194,0.195,0.195,0.196,0.197
YEM,11.71,,,,,14.913,,,,,17.409,,,,,20.107,,,,,23.155,23.808,24.473,25.147,25.823,26.498,27.168,27.835,28.499,29.162
ZAF,36.801,,,,,41.436,,,,,44.968,,,,,47.881,,,,,51.217,52.004,52.833,53.687,54.544,55.386,56.208,57.01,57.793,58.558
ZMB,8.037,,,,,9.097,,,,,10.416,,,,,11.856,,,,,13.606,14.023,14.465,14.927,15.4,15.879,16.363,16.854,17.352,17.861
ZWE,10.432,,,,,11.411,,,,,11.881,,,,,12.077,,,,,12.698,12.894,13.115,13.35,13.587,13.815,14.03,14.237,14.439,14.645
